label,input,output
Artifacts,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Behavioral,The boy didn't know where it had come from but it began to follow him everywhere.,"['follow', 'began', 'come']"
Biological Kind,The boy didn't know where it had come from but it began to follow him everywhere.,"['boy', 'him']"
Mental State,The boy didn't know where it had come from but it began to follow him everywhere.,['know']
Non-Living Kind,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Normative Feature,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Perceptual,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Social Kind/Role,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Anthropomorphized,The boy didn't know where it had come from but it began to follow him everywhere.,[]
Artifacts,"Once upon a time, you lived in your Mama's belly.",[]
Behavioral,"Once upon a time, you lived in your Mama's belly.",['lived']
Biological Kind,"Once upon a time, you lived in your Mama's belly.","['belly', 'you']"
Mental State,"Once upon a time, you lived in your Mama's belly.",[]
Non-Living Kind,"Once upon a time, you lived in your Mama's belly.",['time']
Normative Feature,"Once upon a time, you lived in your Mama's belly.",[]
Perceptual,"Once upon a time, you lived in your Mama's belly.",[]
Social Kind/Role,"Once upon a time, you lived in your Mama's belly.",['Mama']
Anthropomorphized,"Once upon a time, you lived in your Mama's belly.",[]
Artifacts,Here is a red can.,['can']
Behavioral,Here is a red can.,[]
Biological Kind,Here is a red can.,[]
Mental State,Here is a red can.,[]
Non-Living Kind,Here is a red can.,[]
Normative Feature,Here is a red can.,[]
Perceptual,Here is a red can.,['red']
Social Kind/Role,Here is a red can.,[]
Anthropomorphized,Here is a red can.,[]
Artifacts,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.","['Pledge Of Allegiance', 'flag']"
Behavioral,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.","['stands', 'pledge', 'indivisible']"
Biological Kind,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",['I']
Mental State,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",[]
Non-Living Kind,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",[]
Normative Feature,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",[]
Perceptual,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",['one']
Social Kind/Role,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.","['God', 'United States of America', 'liberty', 'republic', 'nation', 'justice', 'allegiance']"
Anthropomorphized,"The Pledge Of Allegiance I pledge allegiance to the flag of the United States of America,and to the republic for which it stands one nation under God, indivisible with liberty and justice for all.",[]
Artifacts,“It’s getting late…” said the Little Lion.,[]
Behavioral,“It’s getting late…” said the Little Lion.,['said']
Biological Kind,“It’s getting late…” said the Little Lion.,[]
Mental State,“It’s getting late…” said the Little Lion.,[]
Non-Living Kind,“It’s getting late…” said the Little Lion.,[]
Normative Feature,“It’s getting late…” said the Little Lion.,[]
Perceptual,“It’s getting late…” said the Little Lion.,[]
Social Kind/Role,“It’s getting late…” said the Little Lion.,[]
Anthropomorphized,“It’s getting late…” said the Little Lion.,['Little Lion']
Artifacts,"As the men set sail, Leif named the land.",[]
Behavioral,"As the men set sail, Leif named the land.","['sail', 'named']"
Biological Kind,"As the men set sail, Leif named the land.",['Leif']
Mental State,"As the men set sail, Leif named the land.",[]
Non-Living Kind,"As the men set sail, Leif named the land.",['land']
Normative Feature,"As the men set sail, Leif named the land.",[]
Perceptual,"As the men set sail, Leif named the land.",[]
Social Kind/Role,"As the men set sail, Leif named the land.",['men']
Anthropomorphized,"As the men set sail, Leif named the land.",[]
Artifacts,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,['name']
Behavioral,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,['change']
Biological Kind,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,"['I', 'brontosauri', 'Laurie', 'he']"
Mental State,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,[]
Non-Living Kind,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,['day']
Normative Feature,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,[]
Perceptual,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,"['lot', 'little']"
Social Kind/Role,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,[]
Anthropomorphized,But if suddenly one day he had A lot of little brontosauri - I would change his name To Laurie.,[]
Artifacts,The beautiful harp music put the giant to sleep.,"['harp', 'music']"
Behavioral,The beautiful harp music put the giant to sleep.,"['put', 'sleep']"
Biological Kind,The beautiful harp music put the giant to sleep.,['giant']
Mental State,The beautiful harp music put the giant to sleep.,[]
Non-Living Kind,The beautiful harp music put the giant to sleep.,[]
Normative Feature,The beautiful harp music put the giant to sleep.,['beautiful']
Perceptual,The beautiful harp music put the giant to sleep.,[]
Social Kind/Role,The beautiful harp music put the giant to sleep.,[]
Anthropomorphized,The beautiful harp music put the giant to sleep.,[]
Artifacts,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",[]
Behavioral,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!","['went', 'laugh', 'find']"
Biological Kind,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!","['I', 'they', 'himself', 'mouse', 'he', 'her', 'she', 'forest', 'Veikko', 'mouse', 'She']"
Mental State,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!","['thought', 'fond']"
Non-Living Kind,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",[]
Normative Feature,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",['good']
Perceptual,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",['little']
Social Kind/Role,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",['brothers']
Anthropomorphized,"”“She’s a good little mouse and I’m very fond of her,” Veikko thought to himself as he went out to the forest, “but my brothers will certainly laugh when they find she is only a mouse!",[]
Artifacts,"So together, he and the penguin would row to the South Pole.",[]
Behavioral,"So together, he and the penguin would row to the South Pole.",['row']
Biological Kind,"So together, he and the penguin would row to the South Pole.","['penguin', 'he']"
Mental State,"So together, he and the penguin would row to the South Pole.",[]
Non-Living Kind,"So together, he and the penguin would row to the South Pole.",['South Pole']
Normative Feature,"So together, he and the penguin would row to the South Pole.",[]
Perceptual,"So together, he and the penguin would row to the South Pole.",[]
Social Kind/Role,"So together, he and the penguin would row to the South Pole.",[]
Anthropomorphized,"So together, he and the penguin would row to the South Pole.",[]
Artifacts,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",['names']
Behavioral,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.","['teach', 'told', 'arrived', 'knead', 'show']"
Biological Kind,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.","['I', 'she', 'me', 'I', 'her', 'bread', 'Emma', 'me', 'flowers']"
Mental State,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",['know']
Non-Living Kind,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",[]
Normative Feature,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",[]
Perceptual,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",[]
Social Kind/Role,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",['Latin']
Anthropomorphized,"When I first arrived, Emma told me she'd show me how to knead bread if would teach her the Latin names of all the flowers I know.",[]
Artifacts,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.",[]
Behavioral,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.","['talking', 'trying', 'funny', 'flew', 'laughing']"
Biological Kind,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.","['Nan', 'Beth', 'Lu', 'May']"
Mental State,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.",['understand']
Non-Living Kind,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.",[]
Normative Feature,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.",[]
Perceptual,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.","['broken', 'seven']"
Social Kind/Role,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.","['English', 'children']"
Anthropomorphized,"Nan, Lu, Beth, and May flew about among the seven children, talking and laughing and trying to understand their funny, broken English.",[]
Artifacts,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.","['board', 'barn', 'pump', 'pigpen', 'pen']"
Behavioral,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.","['say', 'came', 'plan', 'made', 'hearing', 'nail', 'saw', 'saw', 'plague', 'said', 'have', 'got up', 'broke', 'stick', 'began', 'lit up', 'fix', 'hammer', 'fun', 'said', 'noticed', 'stuck']"
Biological Kind,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.","['folks', 'wood', 'he', 'they', 'they', 'them', ""jack-o'-lantern"", 'They', 'they', 'they', 'they', 'you', 'boy', 'they', 'neck', 'they', 'neck', 'pig']"
Mental State,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.",['like']
Non-Living Kind,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.",['morning']
Normative Feature,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.",['best']
Perceptual,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.","['dark', 'many', 'long', 'piece']"
Social Kind/Role,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.",['Thanksgiving Day']
Anthropomorphized,"They all said that it was about the best jack-o'-lantern they almost ever saw, on account of the long neck there was to it; and they made a plan to stick the end of the neck into the top of the pump, and have fun hearing what the folks would say when they came out after dark and saw it all lit up; and then they noticed the pigpen at the corner of the barn, and began to plague the pig, and so many of them got up on the pen that they broke the middle board off; and they didn't like to nail it on again because it was Thanksgiving Day, and you mustn't hammer or anything; so they just stuck it up in its place with a piece of wood against it, and the boy said he would fix it in the morning.",[]
Artifacts,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",[]
Behavioral,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.","['assembled', 'ran', 'juvenile', 'TOUCH']"
Biological Kind,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",[]
Mental State,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",[]
Non-Living Kind,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.","['brook', 'dell']"
Normative Feature,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",[]
Perceptual,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.","['little', 'GOLDEN']"
Social Kind/Role,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",['party']
Anthropomorphized,"INTRODUCTION TO THE GOLDEN TOUCHAT noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.",[]
Artifacts,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.",[]
Behavioral,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.","['made', 'said', 'take', 'go', 'shew', 'follow', 'leave', 'wash', 'have']"
Biological Kind,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.","['me', 'you', 'you', 'he', 'you', 'yourself', 'I', 'he']"
Mental State,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.",['knew']
Non-Living Kind,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.","['world', 'river', 'river', 'air']"
Normative Feature,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.","['beautiful', 'certain']"
Perceptual,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.",[]
Social Kind/Role,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.","['daughter', 'master', 'fortune', 'Princess', 'King']"
Anthropomorphized,"One day in particular, when he knew for certain that the King was to take the air, along the river side, with his daughter, the most beautiful Princess in the world, he said to his master:""If you will follow my advice, your fortune is made; you have nothing else to do, but go and wash yourself in the river, in that part I shall shew you, and leave the rest to me.",[]
Artifacts,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.",[]
Behavioral,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.","['bear', 'forced', 'got', 'pollute', 'receiving', 'burden', 'naughtiness', 'take', 'stuck']"
Biological Kind,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.","['him', 'person', 'me', 'him', 'Scinis', 'you']"
Mental State,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.","['consent', 'believe']"
Non-Living Kind,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.","['cliff', 'itself', 'earth', 'sea', 'sea', 'air']"
Normative Feature,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.",['bad']
Perceptual,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.",['fast']
Social Kind/Role,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.",[]
Anthropomorphized,"But, if you will believe me, the sea would not pollute itself by receiving such a bad person into its bosom; neither would the earth, having once got rid of him, consent to take him back; so that, between the cliff and the sea, Scinis stuck fast in the air, which was forced to bear the burden of his naughtiness.",['bosom']
Artifacts,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",['lassy pot']
Behavioral,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.","['giving', 'proudly', 'said', 'carry']"
Biological Kind,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.","['I', 'May', 'she']"
Mental State,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",['loved']
Non-Living Kind,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",[]
Normative Feature,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",['best']
Perceptual,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",['little']
Social Kind/Role,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",[]
Anthropomorphized,"""I can carry the lassy pot,"" said little May, proudly giving the thing she loved best.",[]
Artifacts,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.","['office', 'train', 'mantle', 'bedchamber']"
Behavioral,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.","['simplicity', 'carrying', 'carry', 'lifting', 'betray', 'unfitness', 'pretended']"
Biological Kind,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.","['they', 'their', 'they']"
Mental State,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.",['felt']
Non-Living Kind,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.",['ground']
Normative Feature,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.",[]
Perceptual,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.",[]
Social Kind/Role,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.","['lords', 'Majesty']"
Anthropomorphized,"The lords of the bedchamber, who were to carry his Majesty's train felt about on the ground, as if they were lifting up the ends of the mantle; and pretended to be carrying something; for they would by no means betray anything like simplicity, or unfitness for their office.",[]
Artifacts,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.",['throne']
Behavioral,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.","['lift', 'efforts', 'weary', 'hearing', 'tell', 'sit', 'boyish']"
Biological Kind,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.","['him', 'him', 'him']"
Mental State,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.",[]
Non-Living Kind,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.",['stone']
Normative Feature,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.",['dear']
Perceptual,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.","['old', 'many', 'ponderous', 'wide', 'two']"
Social Kind/Role,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.","['king', 'childhood', 'mother']"
Anthropomorphized,"The old king was never weary of having him sit beside him on his throne, (which was quite wide enough for two), and of hearing him tell about his dear mother, and his childhood, and his many boyish efforts to lift the ponderous stone.",[]
Artifacts,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.","['strings', 'bag']"
Behavioral,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.","['drawing', 'took', 'foolish', 'killed', 'jumped', 'lain', 'Scarce', 'rash']"
Biological Kind,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.",['rabbit']
Mental State,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.","['pity', 'wanted']"
Non-Living Kind,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.",[]
Normative Feature,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.",[]
Perceptual,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.",['young']
Social Kind/Role,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.",[]
Anthropomorphized,"Scarce was he lain down, but he had what he wanted; a rash and foolish young rabbit jumped into his bag, and Monsieur Puss, immediately drawing close the strings, took and killed him without pity.","['he', 'Monsieur Puss', 'he', 'him', 'he']"
Artifacts,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.","['frames', 'looms']"
Behavioral,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.","['surveyed', 'see']"
Biological Kind,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",['he']
Mental State,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",[]
Non-Living Kind,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",[]
Normative Feature,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",[]
Perceptual,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",['empty']
Social Kind/Role,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.","['minister', 'gentleman']"
Anthropomorphized,"It was just the same with this gentleman as with the minister; he surveyed the looms on all sides, but could see nothing at all but the empty frames.",[]
Artifacts,"""So, approaching Lois, he made a bow and politely asked her: ""Can you tell me, my good little girl, why a ship full of sailors, at the bottom of the sea, is like the price of beef?",['ship']
Behavioral,"""So, approaching Lois, he made a bow and politely asked her: ""Can you tell me, my good little girl, why a ship full of sailors, at the bottom of the sea, is like the price of beef?","['bow', 'asked', 'tell', 'politely', 'approaching', 'made']"
